Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
42973186,How to Do Nothing: Resisting the Attention Economy,Jenny Odell,"Odell, Jenny",,"=""""","=""""",4,3.87,Melville House,Kindle Edition,240,2019,2019,2019/09/25,2019/07/22,non-fiction,non-fiction (#9),read,,,,1,,,0,,,,,
36687335,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,"Boo, Katherine",,"=""""","=""""",5,3.98,Random House,Kindle Edition,290,2012,2012,2019/05/27,2019/02/14,non-fiction,non-fiction (#1),read,"I admit I prejudged this book by its author: I wondered if a white person could do justice to the story of a Mumbai slum. After finishing, I’m thankful for the incredible efforts Katherine Boo took to explain this small part of the world. She covers thoroughly the persistent strife that comes with living in such poverty while narrating dramatic tales of how the slum came to be, why the slum dwellers were always at odds and what they did to survive. It’s a story informed by anthropology and virtually no topic is uncovered: religion, politics, economics, the criminal justice system and more.<br/><br/>My earlier concerns were assuaged after reading her author’s note detailing her reporting process at the end of the book. Plus, as an Indian, I appreciated the way she wove in particular turns of phrase and certain non-verbal cues that showed to me she understood the communication between the people she covered, despite not knowing the languages herself.<br/><br/>This particular slum comes right up to the perimeter of the airport in Bombay and I was always curious about it on childhood visits. I’m glad I finally got to learn more about it.",,,1,,,0,,,,,
20508,Kill the Messenger: How the CIA's Crack-Cocaine Controversy Destroyed Journalist Gary Webb,Nick Schou,"Schou, Nick",Charles Bowden,"=""1560259302""","=""9781560259305""",2,3.75,Nation Books,Paperback,233,2006,2006,2019/03/04,2019/02/17,non-fiction,non-fiction (#2),read,,,,1,,,0,,,,,
6265996,White Teeth,Zadie Smith,"Smith, Zadie",,"=""""","=""""",5,3.77,Vintage,ebook,464,,2000,2019/12/29,2019/11/18,fiction,fiction (#4),read,,,,1,,,0,,,,,
43457351,The Tenth Muse,Catherine Chung,"Chung, Catherine",,"=""""","=""""",4,4.05,Ecco,Kindle Edition,285,2019,2019,2019/09/15,2019/08/18,fiction,fiction (#2),read,,,,1,,,0,,,,,
38472277,Severance,Ling  Ma,"Ma, Ling",,"=""""","=""""",5,3.89,"Farrar, Straus and Giroux",Kindle Edition,304,2018,2018,2019/11/17,2019/11/02,fiction,fiction (#3),read,,,,1,,,0,,,,,
39979237,Moneyland: Why Thieves and Crooks Now Rule the World and How To Take It Back,Oliver Bullough,"Bullough, Oliver",,"=""""","=""""",0,4.21,Profile Books,Kindle Edition,304,2018,2018,,2020/04/12,to-read,to-read (#71),to-read,,,,0,,,0,,,,,
14276,"So Long, See You Tomorrow",William Maxwell,"Maxwell, William",,"=""""","=""9781860464188""",0,3.92,Harvill,Paperback,135,1998,1979,,2020/04/12,to-read,to-read (#70),to-read,,,,0,,,0,,,,,
34821824,Football's Secret Trade: How the Player Transfer Market was Infiltrated,Alex Duff,"Duff, Alex",Tariq Panja,"=""""","=""""",0,3.74,Wiley,Kindle Edition,227,2017,2016,,2020/04/12,to-read,to-read (#69),to-read,,,,0,,,0,,,,,
128429,Against the Gods: The Remarkable Story of Risk,Peter L. Bernstein,"Bernstein, Peter L.",,"=""0471295639""","=""9780471295631""",0,3.97,Wiley,Paperback,383,1998,1996,,2020/04/11,to-read,to-read (#68),to-read,,,,0,,,0,,,,,
44890075,Little Gods,Meng Jin,"Jin, Meng",,"=""006293595X""","=""9780062935953""",0,3.50,Custom House,Hardcover,288,2020,2020,,2020/04/11,to-read,to-read (#67),to-read,,,,0,,,0,,,,,
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",0,4.33,Scribner,Hardcover,531,2014,2014,,2020/04/11,to-read,to-read (#66),to-read,,,,0,,,0,,,,,
11989,The Plague,Albert Camus,"Camus, Albert","Stuart Gilbert, Olga Mărculescu","=""""","=""""",0,3.99,Vintage International,Paperback,308,1991,1947,,2020/04/08,to-read,to-read (#65),to-read,,,,0,,,0,,,,,
306399,The Good War,Studs Terkel,"Terkel, Studs",,"=""1565843436""","=""9781565843431""",0,4.27,New Press,Paperback,608,2004,1984,,2020/04/05,to-read,to-read (#64),to-read,,,,0,,,0,,,,,
17571109,Silver Screen Fiend: Learning About Life from an Addiction to Film,Patton Oswalt,"Oswalt, Patton",,"=""145167323X""","=""9781451673234""",0,3.62,Scribner,ebook,240,2015,2015,,2020/04/02,to-read,to-read (#63),to-read,,,,0,,,0,,,,,
40274582,American Spy,Lauren Wilkinson,"Wilkinson, Lauren",,"=""0812998952""","=""9780812998955""",0,3.51,Random House,Hardcover,292,2019,2019,,2020/03/28,to-read,to-read (#62),to-read,,,,0,,,0,,,,,
45892265,The Cactus League,Emily Nemens,"Nemens, Emily",,"=""0374117942""","=""9780374117948""",0,3.66,"Farrar, Straus and Giroux",Hardcover,275,2020,2020,,2020/03/20,to-read,to-read (#61),to-read,,,,0,,,0,,,,,
23995360,Superforecasting: The Art and Science of Prediction,Philip E. Tetlock,"Tetlock, Philip E.",Dan Gardner,"=""0804136696""","=""9780804136693""",0,4.09,Crown,Hardcover,352,2015,2015,,2020/03/20,to-read,to-read (#60),to-read,,,,0,,,0,,,,,
44601462,Whiter: Asian American Women on Skin Color and Colorism,Nikki Khanna,"Khanna, Nikki",,"=""1479881082""","=""9781479881086""",0,4.17,New York University Press,Hardcover,280,2020,2020,,2020/03/16,to-read,to-read (#59),to-read,,,,0,,,0,,,,,
34051011,Pachinko,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",0,4.27,Grand Central Publishing,Kindle Edition,496,2017,2017,,2020/02/22,to-read,to-read (#58),to-read,,,,0,,,0,,,,,
36636727,Fruit of the Drunken Tree,Ingrid Rojas Contreras,"Contreras, Ingrid Rojas",,"=""""","=""""",0,3.95,Doubleday,Hardcover,304,2018,2018,,2020/02/21,to-read,to-read (#57),to-read,,,,0,,,0,,,,,
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333846""","=""9780385333849""",0,4.08,Dial Press,Paperback,275,1999,1969,,2020/02/18,to-read,to-read (#56),to-read,,,,0,,,0,,,,,
6261332,Shop Class as Soulcraft: An Inquiry Into the Value of Work,Matthew B. Crawford,"Crawford, Matthew B.",,"=""1594202230""","=""9781594202230""",0,3.76,Penguin Press,Hardcover,241,2009,2009,,2020/02/16,to-read,to-read (#55),to-read,,,,0,,,0,,,,,
3828902,Thinking in Systems: A Primer,Donella H. Meadows,"Meadows, Donella H.",Diana       Wright,"=""1603580557""","=""9781603580557""",0,4.26,Chelsea Green Publishing,Paperback,240,2008,2008,,2020/02/16,to-read,to-read (#54),to-read,,,,0,,,0,,,,,
38740750,"Never Ran, Never Will: Boyhood and Football in a Changing American Inner City",Albert Samaha,"Samaha, Albert",,"=""1610398688""","=""9781610398688""",0,4.07,PublicAffairs,Hardcover,368,2018,2018,,2020/02/16,to-read,to-read (#53),to-read,,,,0,,,0,,,,,
40163119,Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,"Keefe, Patrick Radden",,"=""0385521316""","=""9780385521314""",0,4.43,Doubleday,Hardcover,441,2019,2018,,2020/02/15,to-read,to-read (#52),to-read,,,,0,,,0,,,,,
10073506,"Tinker, Tailor, Soldier, Spy",John le Carré,"Carré, John le",,"=""0143119788""","=""9780143119784""",0,4.05,Penguin Books,Paperback,381,2011,1974,,2020/02/09,to-read,to-read (#51),to-read,,,,0,,,0,,,,,
281299,Brilliant Orange: The Neurotic Genius of Football,David Winner,"Winner, David",,"=""0747547084""","=""9780747547082""",0,4.04,Bloomsbury Publishing PLC,Hardcover,246,2000,2000,,2020/02/09,to-read,to-read (#50),to-read,,,,0,,,0,,,,,
43347603,The Yellow House,Sarah M. Broom,"Broom, Sarah M.",,"=""0802125085""","=""9780802125088""",0,3.99,Grove Press,Hardcover,376,2019,2019,,2020/02/08,to-read,to-read (#49),to-read,,,,0,,,0,,,,,
13325079,Billy Lynn's Long Halftime Walk,Ben Fountain,"Fountain, Ben",,"=""0060885599""","=""9780060885595""",0,3.80,Ecco,Hardcover,307,2012,2012,,2020/01/31,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
28962895,"IQ (IQ, #1)",Joe Ide,"Ide, Joe",,"=""0316267724""","=""9780316267724""",0,3.77,Mulholland Books,Hardcover,325,2016,2016,,2020/01/05,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
9777,The God of Small Things,Arundhati Roy,"Roy, Arundhati",,"=""0679457313""","=""9780679457312""",0,3.94,Random House,Hardcover,340,1997,1997,,2019/11/30,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
36794489,When Einstein Walked with Gödel: Excursions to the Edge of Thought,Jim Holt,"Holt, Jim",,"=""0374146705""","=""9780374146702""",0,4.03,"Farrar, Straus and Giroux",Hardcover,368,2018,2018,,2019/11/29,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
67,The Known World,Edward P. Jones,"Jones, Edward P.",,"=""0061159174""","=""9780061159176""",0,3.83,Amistad,Paperback,388,2006,2003,,2019/11/26,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
11100788,Leaving the Atocha Station,Ben Lerner,"Lerner, Ben",,"=""1566892740""","=""9781566892742""",0,3.79,Coffee House Press,Paperback,181,2011,2011,,2019/11/25,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
17704902,Five Days at Memorial: Life and Death in a Storm-Ravaged Hospital,Sheri  Fink,"Fink, Sheri",,"=""0307718964""","=""9780307718969""",0,3.90,Crown,Hardcover,558,2013,2013,,2019/11/25,to-read,to-read (#42),to-read,,,,0,,,0,,,,,
12468,The Executioner's Song,Norman Mailer,"Mailer, Norman",,"=""0375700811""","=""9780375700811""",0,4.06,Vintage Books USA,Paperback,1056,1998,1979,,2019/11/22,to-read,to-read (#41),to-read,,,,0,,,0,,,,,
16142053,"Going Clear: Scientology, Hollywood, and the Prison of Belief",Lawrence Wright,"Wright, Lawrence",,"=""0307700666""","=""9780307700667""",0,4.03,Alfred A. Knopf,Hardcover,430,2013,2013,,2019/11/17,to-read,to-read (#40),to-read,,,,0,,,0,,,,,
17465493,The Numbers Game: Why Everything You Know About Soccer Is Wrong,Chris  Anderson,"Anderson, Chris",David Sally,"=""0143124560""","=""9780143124566""",0,3.70,Penguin Books,Paperback,400,2013,2013,,2019/11/16,paused,paused (#5),paused,,,,0,,,0,,,,,
32828195,The Revolt of the Black Athlete,Harry Edwards,"Edwards, Harry",,"=""0252041070""","=""9780252041075""",0,4.16,University of Illinois Press,Hardcover,264,2017,1969,,2019/10/01,to-read,to-read (#39),to-read,,,,0,,,0,,,,,
681873,A   Vast Conspiracy: The Real Story of the Sex Scandal That Nearly Brought Down a President,Jeffrey Toobin,"Toobin, Jeffrey",,"=""0743204131""","=""9780743204132""",0,3.85,Touchstone,Paperback,448,2000,2000,,2019/09/30,to-read,to-read (#38),to-read,,,,0,,,0,,,,,
40603634,The House of Broken Angels,Luis Alberto Urrea,"Urrea, Luis Alberto",,"=""""","=""""",0,3.93,"Little, Brown and Company",Kindle Edition,336,2018,2018,,2019/09/20,to-read,to-read (#37),to-read,,,,0,,,0,,,,,
779889,The Miracle of Castel di Sangro: A Tale of Passion and Folly in the Heart of Italy,Joe McGinniss,"McGinniss, Joe",,"=""0767905997""","=""9780767905992""",0,4.17,Broadway Books,Paperback,404,2000,1999,,2019/09/05,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
385255,"Random Family: Love, Drugs, Trouble, and Coming of Age in the Bronx",Adrian Nicole LeBlanc,"LeBlanc, Adrian Nicole",,"=""0743254430""","=""9780743254434""",0,4.25,Scribner,Paperback,432,2004,2003,,2019/08/31,to-read,to-read (#35),to-read,,,,0,,,0,,,,,
40406806,Coders: The Making of a New Tribe and the Remaking of the World,Clive Thompson,"Thompson, Clive",,"=""0735220565""","=""9780735220560""",0,4.04,Penguin Press,Hardcover,448,2019,2019,,2019/08/16,to-read,to-read (#34),to-read,,,,0,,,0,,,,,
34876539,Warnings: Finding Cassandras to Stop Catastrophes,Richard A. Clarke,"Clarke, Richard A.",R.P. Eddy,"=""""","=""""",0,3.93,Ecco,Kindle Edition,416,2017,2017,,2018/12/09,paused,paused (#4),paused,,,,0,,,0,,,,,
35876360,The Big Ones: How Natural Disasters Have Shaped Us and What We Can Do about Them,Lucy    Jones,"Jones, Lucy",,"=""0385542704""","=""9780385542708""",0,4.13,Doubleday Books,Hardcover,256,2018,2018,,2018/12/27,paused,paused (#3),paused,,,,0,,,0,,,,,
26530355,Misbehaving: The Making of Behavioral Economics,Richard H. Thaler,"Thaler, Richard H.",,"=""039335279X""","=""9780393352795""",0,4.18,W. W. Norton  Company,Paperback,432,2016,2016,,2019/01/01,paused,paused (#2),paused,,,,0,,,0,,,,,
36463902,Men in Blazers Present Encyclopedia Blazertannica,Men in Blazers,"Blazers, Men in",Michael Davies,"=""1101875984""","=""9781101875988""",0,4.38,Knopf Publishing Group,Hardcover,224,2018,2018,,2019/05/22,paused,paused (#1),paused,,,,0,,,0,,,,,
38743564,"Billion Dollar Whale: The Man Who Fooled Wall Street, Hollywood, and the World",Tom Wright,"Wright, Tom",Bradley Hope,"=""031643650X""","=""9780316436502""",0,4.04,Hachette Books,Hardcover,400,2018,2018,,2019/07/14,to-read,to-read (#33),to-read,,,,0,,,0,,,,,
33598223,Rise and Kill First: The Secret History of Israel's Targeted Assassinations,Ronen Bergman,"Bergman, Ronen",,"=""1400069718""","=""9781400069712""",0,4.39,Random House,Hardcover,784,2018,2018,,2019/07/02,to-read,to-read (#32),to-read,,,,0,,,0,,,,,
8198781,Chinaman: The Legend of Pradeep Mathew,Shehan Karunatilaka,"Karunatilaka, Shehan",,"=""9555236003""","=""9789555236003""",0,4.15,,Paperback,416,2010,2010,,2019/06/22,to-read,to-read (#31),to-read,,,,0,,,0,,,,,
37941721,The Circuit: A Tennis Odyssey,Rowan Ricardo Phillips,"Phillips, Rowan Ricardo",,"=""0374123772""","=""9780374123772""",0,3.70,"Farrar, Straus and Giroux",Hardcover,256,2018,2018,,2019/06/22,to-read,to-read (#30),to-read,,,,0,,,0,,,,,
29780253,Born a Crime: Stories From a South African Childhood,Trevor Noah,"Noah, Trevor",,"=""0385689225""","=""9780385689229""",0,4.46,Doubleday Canada,Hardcover,285,2016,2016,,2019/06/19,to-read,to-read (#29),to-read,,,,0,,,0,,,,,
40063024,Dreyer's English: An Utterly Correct Guide to Clarity and Style,Benjamin Dreyer,"Dreyer, Benjamin",,"=""0812995708""","=""9780812995701""",0,4.37,Random House,Hardcover,295,2019,2019,,2019/06/02,to-read,to-read (#28),to-read,,,,0,,,0,,,,,
40796176,Infinite Powers: How Calculus Reveals the Secrets of the Universe,Steven H. Strogatz,"Strogatz, Steven H.",,"=""1328879984""","=""9781328879981""",0,4.29,Houghton Mifflin Harcourt,Hardcover,360,2019,2019,,2019/05/29,to-read,to-read (#27),to-read,,,,0,,,0,,,,,
25776108,Boys Among Men: How the Prep-to-Pro Generation Redefined the NBA and Sparked a Basketball Revolution,Jonathan Abrams,"Abrams, Jonathan",,"=""0804139253""","=""9780804139250""",0,4.14,Crown Archetype,Hardcover,313,2016,2016,,2019/05/27,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
36373576,Survival Math: Notes on an All-American Family,Mitchell S. Jackson,"Jackson, Mitchell S.",,"=""1501131702""","=""9781501131707""",0,3.78,Scribner,Hardcover,336,2019,2019,,2019/05/22,to-read,to-read (#25),to-read,,,,0,,,0,,,,,
8171378,The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,"Wilkerson, Isabel",,"=""0679444327""","=""9780679444329""",0,4.37,Random House,Hardcover,622,2010,2010,,2019/05/22,to-read,to-read (#24),to-read,,,,0,,,0,,,,,
27213329,Grit,Angela Duckworth,"Duckworth, Angela",,"=""1443442313""","=""9781443442312""",0,4.08,Collins,Hardcover,277,2016,2016,,2019/05/21,to-read,to-read (#23),to-read,,,,0,,,0,,,,,
12609433,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,"Duhigg, Charles",,"=""1400069289""","=""9781400069286""",0,4.10,Random House,Hardcover,375,2012,2012,,2019/05/18,to-read,to-read (#22),to-read,,,,0,,,0,,,,,
24911006,Missoula: Rape and the Justice System in a College Town,Jon Krakauer,"Krakauer, Jon",,"=""0385538731""","=""9780385538732""",0,4.09,Doubleday,Hardcover,368,2015,2015,,2019/05/18,to-read,to-read (#21),to-read,,,,0,,,0,,,,,
3679,On Beauty,Zadie Smith,"Smith, Zadie",,"=""0143037749""","=""9780143037743""",0,3.73,Penguin Books,Paperback,445,2006,2005,,2019/05/18,to-read,to-read (#20),to-read,,,,0,,,0,,,,,
25852784,Evicted: Poverty and Profit in the American City,Matthew Desmond,"Desmond, Matthew",,"=""0553447432""","=""9780553447439""",0,4.47,Crown Publishers,Hardcover,418,2016,2016,,2019/05/18,to-read,to-read (#19),to-read,,,,0,,,0,,,,,
27833494,Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right,Jane Mayer,"Mayer, Jane",,"=""""","=""""",0,4.33,Doubleday,ebook,464,2016,2016,,2019/05/18,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
13912,A Beautiful Mind,Sylvia Nasar,"Nasar, Sylvia",,"=""0571212921""","=""9780571212927""",0,4.13,Faber  Faber,Paperback,461,2002,1998,,2019/05/18,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
101905,Soccer Against the Enemy: How the World's Most Popular Sport Starts and Fuels Revolutions and Keeps Dictators in Power,Simon Kuper,"Kuper, Simon",,"=""1560258780""","=""9781560258780""",0,3.96,Nation Books,Paperback,302,2006,1994,,2019/05/18,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
155449,"Ajax, the Dutch, the War: Football in Europe During the Second World War",Simon Kuper,"Kuper, Simon",,"=""0752842749""","=""9780752842745""",0,3.95,Orion Publishing Group,Paperback,264,2003,2003,,2019/05/18,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
4364,Maximum City: Bombay Lost and Found,Suketu Mehta,"Mehta, Suketu",,"=""0375703403""","=""9780375703409""",0,3.93,Vintage,Paperback,542,2005,2004,,2019/02/14,to-read,to-read (#14),to-read,,,,0,,,0,,,,,
26071613,God Is Round,Juan Villoro,"Villoro, Juan",Thomas Bunstead,"=""1632060582""","=""9781632060587""",0,4.02,Restless Books,Paperback,256,2016,2006,,2019/01/14,to-read,to-read (#13),to-read,,,,0,,,0,,,,,
484028,City of Quartz: Excavating the Future in Los Angeles,Mike  Davis,"Davis, Mike",,"=""0679738061""","=""9780679738060""",0,4.12,Vintage,Paperback,462,1992,1990,,2019/01/14,to-read,to-read (#12),to-read,,,,0,,,0,,,,,
12385458,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""""","=""""",0,4.15,"Farrar, Straus and Giroux",Kindle Edition,512,2011,2011,,2019/01/01,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
35271190,I'll Be Gone in the Dark,Michelle McNamara,"McNamara, Michelle","Gillian Flynn, Patton Oswalt, Paul Haynes, Billy Jensen","=""""","=""""",0,4.14,Harper,Hardcover,328,2018,2018,,2018/12/27,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
37976541,Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"Carreyrou, John",,"=""152473165X""","=""9781524731656""",0,4.44,Knopf Publishing Group,Hardcover,339,2018,2018,,2018/12/27,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
189930,Show Me A Hero,Lisa Belkin,"Belkin, Lisa",,"=""0316088641""","=""9780316088640""",0,4.27,Back Bay Books,Paperback,352,2000,1999,,2018/12/26,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
38916762,"Into the Raging Sea: Thirty-Three Mariners, One Megastorm, and the Sinking of El Faro",Rachel Slade,"Slade, Rachel",,"=""""","=""""",0,4.20,Ecco,Kindle Edition,416,2018,2018,,2018/12/24,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
29496076,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,"Grann, David",,"=""0385534256""","=""9780385534253""",0,4.09,Doubleday,ebook,359,2017,2017,,2018/12/24,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
531916,Shut Out: A Story of Race and Baseball in Boston,Howard Bryant,"Bryant, Howard",,"=""0807009792""","=""9780807009796""",0,3.85,Beacon Press,Paperback,320,2003,2002,,2017/06/04,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
116350,The Wizard of Odds: How Jack Molinas Nearly Destroyed the Game of Basketball,Charley Rosen,"Rosen, Charley",,"=""1583225625""","=""9781583225622""",0,3.84,Seven Stories Press,Paperback,432,2002,2001,,2017/02/22,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
18957,The Corner: A Year in the Life of an Inner-City Neighborhood,David Simon,"Simon, David",Edward Burns,"=""0767900316""","=""9780767900317""",0,4.43,Broadway Books,Paperback,576,1998,1997,,2017/02/22,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
2474047,"A Few Seconds of Panic: A 5-Foot-8, 170-Pound, 43-Year-Old Sportswriter Plays in the NFL",Stefan Fatsis,"Fatsis, Stefan",,"=""1594201781""","=""9781594201783""",0,3.89,"Penguin Press HC, The",Hardcover,338,2008,2008,,2017/02/22,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
75414,The Powers That Be,David Halberstam,"Halberstam, David",,"=""0252069412""","=""9780252069413""",0,4.35,University of Illinois Press,Paperback,792,2000,1979,,2017/02/22,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
